Name;IRI ShortForm;IRI Namespace;Perception Id;Description
Dishwasher;soma:'Dishwasher';http://www.ease-crc.org/ont/SOMA.owl#;22;An appliance for washing dishes and cutlery automatically.
DishwasherTab;soma:'DishwasherTab';http://www.ease-crc.org/ont/SOMA.owl#;49;A solid detergent inserted into dishwashers.
Door;soma:'Door';http://www.ease-crc.org/ont/SOMA.owl#;20;A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle, or in the frame of a cupboard.
Drawer;soma:'Drawer';http://www.ease-crc.org/ont/SOMA.owl#;60;A storage compartment without a lid, made to slide horizontally in and out of a piece of furniture.
FoamBrick;suturo:'FoamBrick';http://www.ease-crc.org/ont/SUTURO.owl#;4;A foam brick is a soft, rectangular block made of foam, used for support or cushioning, often in sports or fitness activities.
Fork;soma:'Fork';http://www.ease-crc.org/ont/SOMA.owl#;5;Cutlery with two or more prongs used for lifting food to the mouth or holding it when cutting.
Glass;soma:'Glass';http://www.ease-crc.org/ont/SOMA.owl#;30;A container made usually from glass or transparent plastic which is used to hold, typically cold, beverages.
GlassCleanerSprayBottle;suturo:'GlassCleanerSprayBottle';http://www.ease-crc.org/ont/SUTURO.owl#;38;A glass cleaner spray bottle is a container designed to hold a cleaning solution specifically formulated for cleaning glass surfaces. It typically has a spray nozzle that dispenses the solution in a fine mist for easy application onto the surface.
GolfBall;suturo:'GolfBall';http://www.ease-crc.org/ont/SUTURO.owl#;32;A golf ball is a small, round ball used in the sport of golf, typically made of rubber and synthetic materials, with dimples on its surface to increase lift and reduce drag.
JellOStrawberryBox;suturo:'JellOStrawberryBox';http://www.ease-crc.org/ont/SUTURO.owl#;72;A box containing, or at least normally intended to contain, Jell-O brand strawberry flavored gelatin.
JelloBox;suturo:'JelloBox';http://www.ease-crc.org/ont/SUTURO.owl#;48;A box containing, or at least normally intended to contain, jello.
JuiceBox;suturo:'JuiceBox';http://www.ease-crc.org/ont/SUTURO.owl#;70;A juice box is a container made of paperboard, with a small attached plastic straw, used for packaging and drinking juice. They are typically single-serving and convenient for on-the-go consumption.
KitchenCabinet;soma_home:'KitchenCabinet';http://www.ease-crc.org/ont/SOMA-HOME.owl#;9;A cupboard designed to be used in kitchen environments.
Kiwi;suturo:'Kiwi';http://www.ease-crc.org/ont/SUTURO.owl#;59;Kiwi is a small, oval-shaped fruit with brown fuzzy skin and bright green flesh inside, packed with nutrients such as vitamin C, vitamin K, and potassium. It has a tangy, sweet flavor and is often eaten raw, added to salads or smoothies, or used as a garnish.
Knife;soma:'Knife';http://www.ease-crc.org/ont/SOMA.owl#;50;An instrument composed of a blade fixed into a handle, used for cutting or as a weapon.
Lemon;suturo:'Lemon';http://www.ease-crc.org/ont/SUTURO.owl#;76;A lemon is a yellow citrus fruit with a sour taste, acidic juice, and versatile use in cooking and beverages.
Marble;suturo:'Marble';http://www.ease-crc.org/ont/SUTURO.owl#;41;A marble is a small, spherical toy made of glass, stone, or other materials, used in games, competitions, or for decoration.
MetalBowl;suturo:'MetalBowl';http://www.ease-crc.org/ont/SUTURO.owl#;56;A metal bowl is a container made from metal material, typically stainless steel or aluminum, and used for various purposes such as mixing ingredients, serving food, or as a decorative object. It is durable, easy to clean, and can withstand high temperatures, making it ideal for use in the kitchen.
MetalMug;suturo:'MetalMug';http://www.ease-crc.org/ont/SUTURO.owl#;43;A metal mug is a drinking vessel made from metal material, typically stainless steel or copper, and designed to hold hot or cold beverages. It is sturdy, reusable, and often used for camping, outdoor activities, or as a travel mug.
MetalPlate;suturo:'MetalPlate';http://www.ease-crc.org/ont/SUTURO.owl#;35;A metal plate is a flat, thin, and usually circular or rectangular piece of metal material, often made from stainless steel or aluminum. It is commonly used for serving food, as a component in machinery, or for decorative purposes, and is durable and easy to clean.
MilkPack;soma:'MilkPack';http://www.ease-crc.org/ont/SOMA.owl#;63;A pack which holds, or at least is intended to usually hold, milk.
MiniSoccerBall;suturo:'MiniSoccerBall';http://www.ease-crc.org/ont/SUTURO.owl#;11;A mini soccer ball is a smaller version of a regulation soccer ball, often used for training, indoor or recreational play, or for promotional or decorative purposes.
MustardBottle;suturo:'MustardBottle';http://www.ease-crc.org/ont/SUTURO.owl#;18;Mustard bottle refers to a squeezable container that dispenses mustard.
Napkin;suturo:'Napkin';http://www.ease-crc.org/ont/SUTURO.owl#;17;A square piece of cloth or paper used at a meal to wipe the fingers or lips and to protect garments
NaturalPerson;dul:'NaturalPerson';http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#;23;A person in the physical commonsense intuition: 'have you seen that person walking down the street?'
Orange;suturo:'Orange';http://www.ease-crc.org/ont/SUTURO.owl#;27;An orange is a round citrus fruit with a tough, bright orange skin, pulpy flesh with sections, and a juicy, tangy flavor.
OreganoShaker;suturo:'OreganoShaker';http://www.ease-crc.org/ont/SUTURO.owl#;65;An oregano shaker is a container used for storing and dispensing dried oregano spice, which is commonly used in cooking to add flavor and aroma to dishes. The shaker typically has small holes or slots on the top to allow for controlled dispensing of the oregano flakes.
PancakeMixBottle;suturo:'PancakeMixBottle';http://www.ease-crc.org/ont/SUTURO.owl#;71;A pancake mix bottle is a container that holds pre-made pancake batter, ready to be cooked. These bottles usually come with a nozzle for easy pouring and can be found in different sizes and shapes.
PastryBox;suturo:'PastryBox';http://www.ease-crc.org/ont/SUTURO.owl#;74;A pastry box is a container used to transport and store pastries such as cakes, pies, and tarts. It is typically made of cardboard or plastic and designed to keep the pastries fresh and protected during transport, with features such as secure lids and inserts to prevent movement and damage.
Peach;suturo:'Peach';http://www.ease-crc.org/ont/SUTURO.owl#;80;A peach is a round fruit with a fuzzy skin, juicy flesh, a large pit in the center, and a sweet, delicate flavor.
Pear;suturo:'Pear';http://www.ease-crc.org/ont/SUTURO.owl#;75;A pear is a sweet, juicy fruit with a bulbous shape, a thin skin, and a core with seeds in the center.
Pitcher;suturo:'Pitcher';http://www.ease-crc.org/ont/SUTURO.owl#;7;A pitcher is a container, usually made of glass or ceramic, with a handle and spout used for holding and pouring beverages such as water, juice, or tea.
PlasticChain;suturo:'PlasticChain';http://www.ease-crc.org/ont/SUTURO.owl#;51;Plastic chain is a chain made from plastic links that are interconnected to form a continuous chain. It is often used as a visual barrier or for crowd control in public places, as well as for decorative purposes in events, exhibitions, and retail displays.
PlasticKnife;suturo:'PlasticKnife';http://www.ease-crc.org/ont/SUTURO.owl#;1;A plastic knife is a cutting tool made from plastic material, typically polypropylene or polystyrene, and is lightweight and disposable. It is commonly used for cutting soft foods such as cake or fruit, or as a safer alternative to metal knives in environments where metal utensils are not allowed.
Plate;soma:'Plate';http://www.ease-crc.org/ont/SOMA.owl#;52;A flat and usually circular object from which food is eaten or served.
Plum;suturo:'Plum';http://www.ease-crc.org/ont/SUTURO.owl#;81;A plum is a small, round or oval-shaped fruit with a smooth, edible skin, juicy, sweet or tart flesh, and a small pit in the center.
Pot;soma:'Pot';http://www.ease-crc.org/ont/SOMA.owl#;16;Pot is a container, typically made of ceramic or clay, used for cooking, serving, or storing food. It comes in various shapes, sizes, and designs and is a common household item found in many cultures around the world.
PottedMeatCan;suturo:'PottedMeatCan';http://www.ease-crc.org/ont/SUTURO.owl#;79;A can containing, or at least normally intended to contain, potted meat
PringlesChipsCan;suturo:'PringlesChipsCan';http://www.ease-crc.org/ont/SUTURO.owl#;36;Pringles chips can refers to a cylindrical container that holds Pringles brand potato chips.
PuddingBox;suturo:'PuddingBox';http://www.ease-crc.org/ont/SUTURO.owl#;19;A box containing, or at least normally intended to contain pudding powder.
Racquetball;suturo:'Racquetball';http://www.ease-crc.org/ont/SUTURO.owl#;47;A racquetball ball is a small, hollow rubber ball used in the sport of racquetball, designed to be bouncy and to move quickly in the enclosed court.
Rope;suturo:'Rope';http://www.ease-crc.org/ont/SUTURO.owl#;44;A rope is a length of thick, strong, twisted or braided fibers or cords, typically made of natural or synthetic materials, used for tying, lifting, pulling, or securing objects or people.
SaltShaker;soma:'SaltShaker';http://www.ease-crc.org/ont/SOMA.owl#;34;A shaker which holds, or at least is intended to usually hold, salt.
ServingMat;suturo:'ServingMat';http://www.ease-crc.org/ont/SUTURO.owl#;21;A serving mat is a type of table mat used to protect surfaces from spills and stains while serving food or drinks. They are typically made from materials such as fabric, plastic, or silicone and come in various shapes, sizes, and designs to suit different occasions and styles.
Shelf;suturo:'Shelf';http://www.ease-crc.org/ont/SUTURO.owl#;25;A shelf board is a flat piece of wood, metal, or glass which is attached to a wall or to the sides of a cupboard. Shelves are used for keeping things on.
Skillet;suturo:'Skillet';http://www.ease-crc.org/ont/SUTURO.owl#;58;A skillet is a flat-bottomed pan with slanted sides and a long handle, used for frying, sautéing, or searing foods.
SoftBall;suturo:'SoftBall';http://www.ease-crc.org/ont/SUTURO.owl#;33;A soft ball is a ball made of a softer, lighter material than a regulation baseball, often used in recreational or amateur leagues, or in games played by children.
Spatula;soma:'Spatula';http://www.ease-crc.org/ont/SOMA.owl#;6;A spatula is a flat, broad kitchen tool with a long handle used for flipping and lifting food items, such as pancakes, eggs, or burgers, while cooking.
Spoon;soma:'Spoon';http://www.ease-crc.org/ont/SOMA.owl#;40;An eating or cooking implement consisting of a small shallow bowl with a relatively long handle.
StackingBlocks;suturo:'StackingBlocks';http://www.ease-crc.org/ont/SUTURO.owl#;45;Stacking blocks are a popular children's toy consisting of various sized and shaped blocks that can be stacked on top of each other to form towers or structures. They are often made of wood, plastic or foam, and are used to improve fine motor skills, hand-eye coordination, and problem-solving abilities in young children.
Strawberry;suturo:'Strawberry';http://www.ease-crc.org/ont/SUTURO.owl#;37;A strawberry is a small, red fruit with a juicy texture, sweet taste, and tiny seeds on the surface, commonly used in desserts or as a snack.
SugarBox;suturo:'SugarBox';http://www.ease-crc.org/ont/SUTURO.owl#;57;A box containing, or at least usually intended to contain, sugar.
Table;soma:'Table';http://www.ease-crc.org/ont/SOMA.owl#;28;A piece of furniture with a flat top and one or more legs.
TableCloth;suturo:'TableCloth';http://www.ease-crc.org/ont/SUTURO.owl#;13;A tablecloth is a large, rectangular piece of fabric or vinyl used to cover and protect a dining table from spills and stains, as well as to add aesthetic appeal to the setting.
TeaBagBox;suturo:'TeaBagBox';http://www.ease-crc.org/ont/SUTURO.owl#;73;A tea bag box is a container used for storing and organizing tea bags, typically made of cardboard or other durable materials and featuring separate compartments for different types or flavors of tea. These boxes are commonly used in households, offices, and restaurants to keep tea bags readily available for brewing.
TennisBall;suturo:'TennisBall';http://www.ease-crc.org/ont/SUTURO.owl#;39;A tennis ball is a small, round ball made of rubber with a fuzzy, felt-like outer layer, used in the sport of tennis, as well as in other games, such as fetch for dogs.
TomatoSoupCan;suturo:'TomatoSoupCan';http://www.ease-crc.org/ont/SUTURO.owl#;67;Tomato soup can refers to a cylindrical metal container that holds condensed or ready-to-eat tomato soup.
Toothpaste;suturo:'Toothpaste';http://www.ease-crc.org/ont/SUTURO.owl#;64;Toothpaste is a gel or paste used for cleaning teeth and maintaining oral hygiene. It typically contains abrasives, fluoride, and other active ingredients that help remove plaque, prevent tooth decay, and freshen breath.
ToyotaHSR;suturo:'ToyotaHSR';http://www.ease-crc.org/ont/SUTURO.owl#;61;Toyota's HSR is a compact mobile cobot (collaborative robot) platform that can move around and fetch objects using a multi-DOF arm while avoiding obstacles. Operable by voice command or by tablet PC, HSR has a highly maneuverable, compact, and lightweight cylindrical body with a folding arm that enables it to pick up objects off the floor, suction up thin objects, retrieve objects from high locations, open curtains, and perform other household tasks.
TrashBin;suturo:'TrashBin';http://www.ease-crc.org/ont/SUTURO.owl#;0;A container for holding waste or garbage.
Tray;suturo:'Tray';http://www.ease-crc.org/ont/SUTURO.owl#;26;A flat, shallow container with a raised rim, typically used for carrying food and drink, or for holding small items or loose material.
TunaFishCan;suturo:'TunaFishCan';http://www.ease-crc.org/ont/SUTURO.owl#;68;Tuna fish can refers to a metal container used to store and preserve tuna fish.
Washer;suturo:'Washer';http://www.ease-crc.org/ont/SUTURO.owl#;14;A washer is a thin, flat ring-shaped object, typically made of metal, rubber, or plastic, used to distribute the load of a threaded fastener such as a screw or bolt, or as a spacer, seal, or locking device.
WineGlass;soma:'WineGlass';http://www.ease-crc.org/ont/SOMA.owl#;24;A glass which holds, or at least is intended to usually hold, wine. Also affords drinking from it.
