LAMEY	l ey m iy
LIGHTS	l ay t s
LIKING	l ay k ih ng
LILIEN	l ih l iy ah n
LILIES	l ih l iy z
LILLIAN	l ih l iy ah n
LILY'S	l ih l iy z
LIMBERT	l ih m b er t
LIMES	l ay m z
LIMINE	l ih m ay n
LIMOGES	l ih m ow jh ih z
LIMPS	l ih m p s
LINAM	l ih n ah m
LINCK	l ih ng k
LINDELL	l ih n d ah l
LINDH	l ih n d
LINDMAN	l ih n d m ah n
LINDON	l ih n d ah n
LINEN	l ih n ah n
LINES'	l ay n z
LINETTE	l ih n eh t
LINGARD	l ih ng g er d
LINGERS	l ih ng g er z
LINGNER	l ih ng n er
LINH	l ih n
LINING	l ay n ih ng
LININGS	l ay n ih ng z
LINKS	l ih ng k s
LINKUP	l ih ng k ah p
LINNELL	l ih n ah l
LINOWES	l ih n ow z
LINSKY	l ih n s k iy
LION	l ay ah n
LIONIZE	l ay ah n ay z
LIPHAM	l ih f ah m
LIPMAN	l ih p m ah n
LIPSIG	l ih p s ih g
LIQUEFY	l ih k w ah f ay
LIRA	l ih r ah
LISBETH	l ih s b ih th
LISCO	l ih s k ow
LISH	l ih sh
LISSIE	l ih s iy
LISSY	l ih s iy
LIST'S	l ih s t s
LITA	l iy t ah
LITAN	l ay t ah n
LITANY	l ih t ah n iy
LITLE	l ay t ah l
LITWACK	l ih t w ao k
LIU	l y uw
LIVE	l ay v
LIVED	l ay v d
LIVESAY	l ih v ih s ey
LIVEZEY	l ih v ih z iy
LIVONIA	l ih v ow n y ah
LIZOTTE	l ih z ao t
LLERENA	l eh r ey n ah
LLOYD'S	l oy d z
LN	l ey n
LOADED	l ow d ah d
LOBAUGH	l aa b ao
LOBED	l ow b d
LOBES	l ow b z
LOBLAW	l aa b l ao
LOCALES	l ow k ae l z
LOCEY	l ow s iy
LOCKABY	l aa k ah b iy
LOCKLAR	l aa k l er
LOCKNER	l aa k n er
LOCKNEY	l aa k n ey
LOCTITE	l aa k t ay t
LOCUSTS	l ow k ah s t s
LODES	l ow d z
LOEB	l ow b
LOERA	l ao r ah
LOESCHE	l ow sh
LOGGIA	l aa g iy ah
LOGS	l ao g z
LOIN	l oy n
LOKER	l ow k er
LOLL	l aa l
LOMA	l ow m ah
LOMBA	l aa m b ah
LOMBARD	l aa m b aa r d
LONGLEG	l ao ng l eh g
LONGPRE	l aa ng p er
LOOKERS	l uh k er z
LOOKS	l uh k s
LOOMED	l uw m d
LOPPNOW	l aa p n aw
LOQUAT	l ow k w aa t
LORETTA	l er eh t ah
LOREY	l ao r iy
LORIMAR	l ao r ah m aa r
LORO	l ao r ow
LOSADA	l ow s aa d ah
LOTION	l ow sh ah n
LOTS	l aa t s
LOTUS	l ow t ah s
LOTZ	l aa t s
LOUANNE	l uw ae n
LOUDEST	l aw d ah s t
LOUDLY	l aw d l iy
LOUSED	l aw z d
LOUTS	l aw t s
LOUVIER	l aw v iy er
LOUVRE	l uw v r ah
LOVAAS	l aa v aa z
LOVAGE	l ah v ah jh
LOVEALL	l ah v ao l
LOVES	l ah v z
LOVITT	l aa v ih t
LOWBORN	l ow b ao r n
LOWELL	l ow ah l
LOYOLA	l oy ow l ah
LOZA	l ow z ah
LUAKA	l uw aa k ah
LUALLEN	l uw ae l ah n
LUANA	l uw ae n ah
LUBBEN	l ah b ah n
LUBER	l uw b er
LUCCO	l uw k ow
LUCENTE	l uw ch eh n t iy
LUCERO	l uw ch eh r ow
LUCEY	l uw s iy
LUCIAN	l uw sh ah n
LUCILE	l uw s iy l
LUCKY'S	l ah k iy z
LUDDEN	l ah d ah n
LUDDITE	l ah d ay t
LUDTKE	l ah d k iy
LUECKE	l uw k
LUEDERS	l uh d er z
LUFT	l ah f t
LUGARDA	l uw g aa r d ah
LUGER	l uw g er
LUGOSI	l uw g ow s iy
LUGS	l ah g z
LUI	l uw ih
LUICK	l uw k
LUIGI'S	l uw iy jh iy z
LUIKART	l uw k aa r t
LUKEN	l uw k ah n
LUKMAN	l ah k m ah n
LUKS	l ah k s
LULL	l ah l
LULLABY	l ah l ah b ay
LULLING	l ah l ih ng
LUMET	l uw m ah t
LUMPP	l ah m p
LUNATIC	l uw n ah t ih k
LUNCHED	l ah n ch t
LUNDEEN	l ah n d iy n
LUPICA	l uw p iy k ah
LUPUS	l uw p ah s
LURA	l uh r ah
LURCHES	l er ch ih z
LUSCHER	l ah sh er
LUSHER	l ah sh er
LUSHLY	l ah sh l iy
LUTMAN	l ah t m ah n
LUVS	l ah v z
LUXOR	l ah k s er
LYDON	l ih d ah n
LYFORD	l ih f er d
LYN	l ih n
LYNK	l ih ng k
LYTHGOE	l ih th g ow
M.	eh m
M.'S	eh m z
M1	eh m w ah n
M4	eh m f ao r
MAAG	m aa g
MAAM	m ah m
MAASSEN	m aa s ah n
MABEE	m ae b iy
MABEY	m ey b iy
MACAWS	m ah k ao z
MACBETH	m ah k b eh th
MACEDO	m ah s ey d ow
MACEWEN	m ah k y uw ah n
MACH	m aa k
MACHADO	m ah ch aa d ow
MACHE	m ae ch
MACHER	m ae k er
MACKALL	m ae k ah l
MACKIN	m ae k ih n
MACKLEM	m ae k l ah m
MACLEAN	m ah k l ey n
MACNAB	m ah k n ae b
MACRI	m ae k r iy
MAD	m ae d
MADCAP	m ae d k ae p
MADL	m ae d ah l
MADONIA	m aa d ow n iy ah
MADRY	m ae d r iy
MADY	m ey d iy
MADYUN	m ae d iy ah n
MAESTRO	m ay s t r ow
MAG	m ae g
MAGGARD	m ae g er d
MAGIE	m ey jh iy
MAGILL	m ae jh ah l
MAGNA	m ae g n ah
MAGNESS	m ah g n iy s
MAGNUS	m ae g n ah s
MAGOON	m ah g uw n
MAGPIES	m ae g p ay z
MAGWOOD	m ae g w uh d
MAHANEY	m ah hh ey n iy
MAHE	m ey hh iy
MAHLUM	m aa l ah m
MAHNKE	m ae ng k
MAHWAH	m aa w ah
MAIA	m ay ah
MAIDEN	m ey d ah n
MAIER	m ey er
MAIL'S	m ey l z
MAILMEN	m ey l m eh n
MAILS	m ey l z
MAIMING	m ey m ih ng
MAIREAD	m ey r eh
MAIS	m ey s
MAJCHER	m ae jh k er
MAKI	m aa k iy
MAKIN'	m ey k ih n
MAKING	m ey k ih ng
MAKITA	m ah k iy t ah
MAKOTO	m ah k ow t ow
MALACCA	m ah l ae k ah
MALAVE	m aa l aa v iy
MALAWI	m ah l aa w iy
MALCHOW	m aa l hh aw
MALCOLM	m ae l k ah m
MALERBA	m aa l eh r b ah
MALES	m ey l z
MALESKY	m ah l eh s k iy
MALICKI	m ah l ih k iy
MALINDA	m aa l iy n d ah
MALIS	m aa l iy z
MALLER	m ao l er
MALLOY	m ah l oy
MALLY	m ae l iy
MALONE	m ah l ow n
MALT	m ao l t
MALTS	m ao l t s
MALVERN	m ae l v er n
MAMBA	m aa m b ah
MAMBO	m aa m b ow
MAMIS	m ae m ih s
MAMSTED	m ae m s t eh d
MAMULA	m ae m y uw l ah
MANA	m aa n ah
MANAS	m aa n ah z
MANATEE	m ae n ah t iy
MANCINI	m aa n ch iy n iy
MANDERS	m ae n d er z
MANDICH	m ae n d ih k
MANELLA	m ah n eh l ah
MANER	m ey n er
MANG	m ae ng
MANGHAM	m ae ng g ah m
MANGINE	m aa ng g iy n iy
MANGINO	m aa ng g iy n ow
MANIAC	m ey n iy ae k
MANIACS	m ey n iy ae k s
MANIC	m ae n ih k
MANIGAT	m ae n ih g ae t
MANKER	m ae ng k er
MANNINA	m ae n ih n ah
MANNION	m ae n y ah n
MANSO	m ae n s ow
MANTA	m ae n t ah
MANTEY	m ae n t iy
MANU	m aa n uw
MANUAL	m ae n y uw ah l
MANZI'S	m ae n z iy z
MAORI	m aw r iy
MAPP	m ae p
MAQUILA	m ah k w iy l ah
MARACLE	m aa r ah k ah l
MARAFAT	m eh r ah f ae t
MARANTO	m er ae n t ow
MARASH'	m aa r ah sh
MARBACH	m aa r b aa k
MARCANO	m aa r k aa n ow
MARCHER	m aa r ch er
MARCI	m aa r s iy
MARCIAL	m aa r s iy aa l
MARCY	m aa r s iy
MARELLA	m er eh l ah
MARENO	m aa r eh n ow
MARES	m eh r z
MARESCO	m aa r eh s k ow
MARIA'S	m er iy ah z
MARIAN	m eh r iy ah n
MARIBEL	m ae r ih b eh l
MARING	m eh r ih ng
MARINOS	m er iy n ow z
MARJE	m aa r jh
MARKER	m aa r k er
MARKET	m aa r k ah t
MARKETS	m aa r k ah t s
MARKKAA	m aa r k aa
MARKUPS	m aa r k ah p s
MARKY	m aa r k iy
MARMION	m aa r m iy ah n
MARMON	m aa r m ah n
MARONI	m aa r ow n iy
MAROON	m er uw n
MAROSE	m er ow s
MAROTTE	m er ao t
MARRED	m aa r d
MARRIED	m eh r iy d
MARSAL	m aa r s ah l
MARSAM	m aa r s ae m
MARSCH	m aa r sh
MARSDEN	m aa r s d ah n
MARSICO	m aa r s iy k ow
MARSO	m aa r s ow
MART'S	m aa r t s
MARTINE	m aa r t iy n
MARTONE	m aa r t ow n iy
MARUI	m er uw iy
MARUKIN	m er uw k ih n
MARVIN	m aa r v ih n
MARWICK	m aa r w ih k
MARZAN	m aa r z ah n
MARZEC	m aa r z ih k
MASAMI	m aa s aa m iy
MASDEN	m ae s d ah n
MASIN	m aa s ih n
MASINO	m aa s iy n ow
MASIUS	m ae s iy ah s
MASKER	m ae s k er
MASON'S	m ey s ah n z
MASSIEU	m ae s iy uw
MASSIVE	m ae s ih v
MATER	m aa t er
MATERN	m ae t er n
MATES	m ey t s
MATHIS	m ae th ih s
MATHWIG	m ae th w ih g
MATISSE	m ae t iy s
MATLACK	m ae t l ae k
MATSAPA	m ae t s aa p ah
MATTEO	m aa t ey ow
MATTHIS	m ae th ih s
MATTHYS	m ae th iy z
MATTIE	m ae t iy
MATTIS	m ae t ih s
MATTKE	m ae t k iy
MATTOS	m ae t ow z
MATULA	m aa t uw l ah
MATZOH	m ae t s ah
MAUDLIN	m ao d l ih n
MAUMEE	m aw m iy
MAURIN	m ao r ih n
MAURITZ	m ao r ih t s
MAURO	m ao r ow
MAUS	m ao z
MAUTZ	m ao t s
MAVIS	m ey v ih s
MAWR	m ao er
MAXIMAL	m ae k s ah m ah l
MAXXIM	m ae k s ih m
MAY	m ey
MAYA	m ay ah
MAYDENA	m ey d ih n ah
MAYLE	m ey l
MAYNARD	m ey n er d
MAYNE	m ey n
MAZOLA	m ah z ow l ah
MCADOO	m ae k ah d uw
MCAMIS	m ah k ae m ah s
MCBREEN	m ah k b r iy n
MCCAGUE	m ah k ey g
MCCAIG	m ah k ey g
MCCAMY	m ah k ey m iy
MCCANE	m ah k ey n
MCCAW	m ah k ao
MCCLAIN	m ah k l ey n
MCCLEAN	m ah k l iy n
MCCOOL	m ah k uw l
MCCOWEN	m ah k aw ah n
MCCOY	m ah k oy
MCCOYS	m ah k oy z
MCCRAE	m ah k r ey
MCDARIS	m ah k d ae r ah s
MCDAVID	m ah k d ey v ah d
MCDUFF	m ah k d ah f
MCELROY	m ae k ah l r oy
MCENANY	m ae k ah n ey n iy
MCENERY	m ah k eh n er iy
MCEVER	m ah k eh v er
MCGAHAN	m ah g ae hh ah n
MCGARY	m ah g eh r iy
MCGAVIN	m ah g ae v ah n
MCGLORY	m ah g l ao r iy
MCGLYNN	m ah g l ih n
MCGOFF	m ah g ao f
MCGOWAN	m ah g aw ah n
MCGOWN	m ah g aw n
MCGRAIN	m ah g r ey n
MCGRATH	m ah g r ae th
MCGREW	m ah g r uw
MCGUIRE	m ah g w ay r
MCKAY	m ah k ey
MCKENNA	m ah k eh n ah
MCKNEW	m ah k n uw
MCKREE	m ah k r iy
MCKUNE	m ah k y uw n
MCMAHAN	m ah k m ey hh ah n
MCMORAN	m ah k m ao r ah n
MCNAIR	m ah k n eh r
MCNAIRY	m ah k n eh r iy
MCNEIL	m ah k n iy l
MCNEILL	m ah k n iy l
MCQUAID	m ah k w ey d
MCQUOWN	m ah k w aw n
MCRIGHT	m ah k r ay t
MCROY	m ah k r oy
MCTAGUE	m ah k t ey g
MCVEY	m ah k v ey
MEAD	m iy d
MEADORS	m iy d er z
MEALOR	m iy l er
MEASLES	m iy z ah l z
MEAT	m iy t
MEATS	m iy t s
MEAVE	m iy v
MECKLER	m eh k l er
MEDFACT	m eh d f ae k t
MEDFLY	m eh d f l iy
MEDICAL	m eh d ah k ah l
MEDICO	m eh d ih k ow
MEDIUM	m iy d iy ah m
MEDLEN	m eh d l ah n
MEDUSAS	m ah d uw s ah z
MEEKLY	m iy k l iy
MEESE	m iy s
MEG	m eh g
MEGEE	m eh jh iy
MEGNA	m eh g n ah
MEHMET	m eh m ah t
MEI	m ey
MEINCKE	m ay ng k iy
MEISEL	m ay s ah l
MEL'S	m eh l z
MELANIE	m eh l ah n iy
MELE	m iy l
MELESKI	m ih l eh s k iy
MELICAN	m eh l ih k ah n
MELL	m eh l
MELONE	m eh l ow n iy
MELROSE	m eh l r ow z
MELTON	m eh l t ah n
MELVINA	m eh l v iy n ah
MEMEL	m eh m ah l
MEMMER	m eh m er
MEMOLI	m eh m ow l iy
MENARD	m ih n aa r d
MENATEP	m eh n ah t eh p
MENDOLA	m eh n d ow l ah
MENKA	m eh ng k ah
MENTHOL	m eh n th ao l
MERCADO	m er k aa d ow
MERDYCE	m er d ay s
MERGE	m er jh
MERHIGE	m er hh iy jh
MERKER	m er k er
MERLINA	m er l iy n ah
MERLINO	m er l iy n ow
MERRELL	m eh r ah l
MERRETT	m eh r ih t
MERRIER	m eh r iy er
MERTA	m eh r t ah
MERTICE	m eh r t ih s
MERTZ	m er t s
MESABA	m eh s aa b ah
MESBICS	m eh s b ih k s
MESH	m eh sh
MESHELL	m eh sh ah l
MESMER	m eh z m er
MESTRE	m eh s t er
METALS'	m eh t ah l z
METPATH	m eh t p ae th
METRE	m iy t er
METRIC	m eh t r ih k
METTE	m eh t
METTER	m eh t er
METZGER	m eh t s g er
MEUSER	m oy s er
MEWAS	m y uw ah s
MEYN	m ey n
MHOON	m hh uw n
MIARA	m ay aa r ah
MIAZGA	m iy aa z g ah
MICHELL	m ih ch ah l
MICHIO	m ih ch iy ow
MICHNA	m ih ch n ah
MICKY	m ih k iy
MICOIN	m ih k oy n
MIDAIR	m ih d eh r
MIDST	m ih d s t
MIDWIFE	m ih d w ay f
MIENO	m iy n ow
MIERS	m ay er z
MIERZWA	m iy r z w ah
MIESSE	m iy s
MIGGINS	m ih g ih n z
MIGLIN	m ih g l ih n
MIGRANT	m ay g r ah n t
MIGRATE	m ay g r ey t
MIGUES	m iy g eh s
MIHALEK	m ih hh ah l eh k
MIHALIC	m ih hh ae l ih k
MIHM	m ih m
MIKAL	m iy k ah l
MIKLOS	m iy k l ow s
MIKOS	m ay k ow z
MIKULEC	m ih k uw l ih k
MILAN'S	m ih l aa n z
MILAZZO	m iy l aa z ow
MILCH	m ih l ch
MILEM	m ih l ah m
MILHOAN	m ih l hh ow n
MILITO	m iy l iy t ow
MILK	m ih l k
MILLET	m ih l ah t
MILLIET	m ih l iy eh t
MILLSAP	m ih l s ae p
MILODIC	m ih l ow d ih k
MILTIE	m ih t iy
MILZ	m ih l z
MIM	m ih m
MIME	m ay m
MIMICRY	m ih m ih k r iy
MIMIS	m iy m iy z
MIMS	m ih m z
MINARET	m ih n er eh t
MINCER	m ih n s er
MINCES	m ih n s ih z
MINCY	m ih n s iy
MIND	m ay n d
MINDING	m ay n d ih ng
MINDS	m ay n d z
MINDY	m ih n d iy
MINEHAN	m ih n ih hh ae n
MINELLI	m ih n eh l iy
MINGLED	m ih ng g ah l d
MINH	m ih n
MINI	m ih n iy
MINIMUM	m ih n ah m ah m
MINIS	m ih n iy z
MINKOFF	m ih ng k ao f
MINKS	m ih ng k s
MINNEY	m ih n iy
MINNIX	m ih n ih k s
MINORED	m ay n er d
MINOTTI	m ih n ao t iy
MINSKY	m ih n s k iy
MINSTAR	m ih n s t aa r
MINYARD	m ih n y aa r d
MIOTKE	m ay aa t k iy
MIRAGE	m er aa zh
MIRELL	m ih r eh l
MIRIAM	m ih r iy ah m
MIRSAD	m ih r s ae d
MIRTH	m er th
MISHOE	m iy sh uw
MISKA	m ih s k ah
MISKO	m ih s k ow
MISNER	m ih z n er
MISSAL	m ih s ah l
MISSEY	m ih s iy
MISSILE	m ih s ah l
MISTS	m ih s t s
MITA	m iy t ah
MIXED	m ih k s t
MIXES	m ih k s ah z
MIZELLE	m ih z eh l
MIZUNO	m ih z uw n ow
MIZZELL	m ih z ah l
MLADIC	m l aa d ih ch
MOAB	m ow ae b
MOAN	m ow n
MOATES	m ow ey t s
MOBBS	m aa b z
MOBIL'S	m ow b ah l z
MOBLEY	m ow b l iy
MOBS	m aa b z
MODIFY	m aa d ah f ay
MOE	m ow
MOEHLE	m ow hh ah l
MOEN	m ow n
MOENCH	m ow ng k
MOERKE	m ao r k
MOERS	m ow er z
MOFFA	m aa f ah
MOGER	m ow g er
MOGLE	m ow g ah l
MOIST	m oy s t
MOKES	m ow k s
MOL	m ao l
MOLDEN	m ow l d ah n
MOLE	m ow l
MOLIN	m ow l ih n
MOLINA	m ah l iy n ah
MOLLIE	m aa l iy
MOLLO	m aa l ow
MOLLUSK	m aa l ah s k
MOLLY'S	m aa l iy z
MOLOCK	m aa l ah k
MOLTING	m ow l t ih ng
MOLZAHN	m ow l z ah n
MON	m ow n
MONAD	m ow n ae d
MONDAY	m ah n d iy
MONDRY	m aa n d r iy
MONGER	m ah ng g er
MONGERS	m ah ng g er z
MONGOL	m aa ng g ah l
MONK	m ah ng k
MONNIER	m aa n iy er
MONSOON	m aa n s uw n
MONTAGU	m aa n t ah g y uw
MONTERO	m aa n t eh r ow
MONTEZ	m ow n t eh z
MONTS	m aa n t s
MONTY	m ao n t iy
MONTZ	m aa n t s
MONY	m ow n iy
MOO	m uw
MOODY	m uw d iy
MOONE	m uw n
MOONS	m uw n z
MOOR	m uh r
MOP	m aa p
MOQUIN	m ow k w iy n
MORAGA	m ao r aa g ah
MORAIN	m er ey n
MORAND	m ao r ah n d
MORANTE	m ao r aa n t iy
MORASH	m ao r ah sh
MORAY	m er ey
MOREEN	m ao r iy n
MORES	m ao r ey z
MORETON	m ao r ih t aa n
MORETTO	m ao r eh t ow
MORETZ	m ao r ih t s
MORIAL	m ao r iy ah l
MORINI	m ao r iy n iy
MORIOKA	m ao r iy ow k ah
MORIYA	m ao r iy ah
MORNING	m ao r n ih ng
MOROCCO	m er aa k ow
MOROS	m ao r ow z
MORPHIS	m ao r f ih s
MORR	m ao r
MORRIN	m ao r ih n
MORRONE	m ao r ow n iy
MORRY	m ao r iy
MORSCH	m ao r sh
MOSAICS	m ow z ey ih k s
MOSER	m ow z er
MOSHER	m ow zh er
MOSHIER	m aa sh iy er
MOSK	m ao s k
MOSKWA	m aa s k v ah
MOSTOW	m aa s t aw
MOSUL	m ow s ah l
MOTE	m ow t
MOTTERN	m aa t er n
MOTTO	m aa t ow
MOTZKO	m aa t s k ow
MOULDER	m ow l d er
MOURAD	m uw r ae d
MOUW	m aw w
MOVABLE	m uw v ah b ah l
MOVED	m uw v d
MOVERS	m uw v er z
MOWAT	m ow ah t
MOWATT	m ow ah t
MOWBRAY	m ow b r ey
MOWERY	m aw er iy
MOWS	m aw z
MRAZ	m r ae z
MRAZIK	m r aa z ih k
MROCZEK	m r aa ch eh k
MROZ	m r aa z
MRS	m ih s ih z
MSGR	m aa n s iy n y er
MU	m uw
MUCCIO	m uw ch iy ow
MUCUS	m y uw k ah s
MUFFINS	m ah f ah n z
MUFFY	m ah f iy
MUGAR	m y uw g er
MUGGED	m ah g d
MUKLUK	m ah k l ah k
MULLER	m ah l er
MULLOY	m ah l oy
MULNIX	m ah l n ih k s
MUMBLES	m ah m b ah l z
MUMBY	m ah m b iy
MUMFORD	m ah m f er d
MUMMY	m ah m iy
MUMPER	m ah m p er
MUN	m ah n
MUNCHED	m ah n ch t
MUNCIE	m ah n s iy
MUNKRES	m ah ng k er z
MUNRO	m ah n r ow
MURAI	m y er ay
MURALI	m er aa l iy
MURCHIE	m er ch iy
MURDOCH	m er d aa k
MURIEL	m y uh r iy ah l
MURILLO	m ah r ih l ow
MURRILL	m ao r ah l
MURVEIT	m er v iy t
MUSEUM	m y uw z iy ah m
MUSHTAQ	m ah sh t ae k
MUSIAL	m y uw z iy ah l
MUSICA	m y uw z ih k ah
MUSKY	m ah s k iy
MUSSO	m uw s ow
MUST	m ah s t
MUSTER	m ah s t er
MUZYKA	m y uw z ih k ah
MY	m ay
MYANMAR	m y aa n m aa r
MYELIN	m ay ih l ih n
MYERS'S	m ay er z ih z
MYETTE	m ay eh t
MYHRE	m ih r
MYREON	m ay r iy ah n
MYRICK	m ay r ih k
MYRLIE	m ih r l iy
MYRTLES	m er t ah l z
MYSTIFY	m ih s t ah f ay
N-TUPLE	eh n t uw p ah l
NABER	n ey b er
NABERS	n ey b er z
NABOB	n ae b aa b
NABOZNY	n ah b aa z n iy
NADER	n ey d er
NADINE	n ah d iy n
NAGATA	n aa g aa t ah
NAGER	n ey g er
NAGGING	n ae g ih ng
NAHMIAS	n aa m iy ah z
NAILS	n ey l z
NAIM	n ay ih m
NAKAI	n aa k aa iy
NAKATA	n aa k aa t ah
NALE	n ey l
NAME'S	n ey m z
NAMING	n ey m ih ng
NANA	n ae n ah
NANDITA	n aa n d iy t ah
NANETTE	n ah n eh t
NANEZ	n aa n eh z
NANKING	n ae ng k ih ng
NAPCO	n ae p k ow
NAPKIN	n ae p k ih n
NAPPING	n ae p ih ng
NARCOS	n aa r k ow s
NARITA	n eh r iy t ah
NARROW	n eh r ow
NARS	n aa r z
NARVAEZ	n aa r v aa eh z
NASBY	n ae s b iy
NASH'S	n ae sh ih z
NATAL	n ey t ah l
NATAN	n ey t ah n
NATHENE	n ah th iy n
NATIONS	n ey sh ah n z
NATIVE	n ey t ih v
NATOLI	n aa t ow l iy
NATS	n ae t s
NATSIOS	n ae t s iy ow s
NATUNA	n ah t uw n ah
NATURED	n ey ch er d
NATZKE	n ae t s k iy
NAV	n ae v
NAVAL	n ey v ah l
NAVCOM	n ae v k aa m
NAWROT	n ao r ah t
NAYS	n ey z
NAZI	n aa t s iy
NEATEST	n iy t ah s t
NEAULT	n ow
NEBLETT	n eh b l ih t
NECKS	n eh k s
NECO'S	n iy k ow z
NEDEL	n iy d ah l
NEGRI	n eh g r iy
NEGRIN	n eh g r ih n
NEICE	n iy s
NEIL	n iy l
NEISLER	n ay s ah l er
NELIA	n eh l iy ah
