!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
ACKNOWLEDGEMENTS(2)	IH K N AA L IH JH M AH N T S
ACKNOWLEDGES(2)	IH K N AA L IH JH IH Z
ACKNOWLEDGING(2)	IH K N AA L IH JH IH NG
ACKNOWLEDGMENT(2)	IH K N AA L IH JH M AH N T
ACQUAINTED(2)	AH K W EY N IH D
ACQUIRING(2)	AH K W AY ER IH NG
ACQUITTED(2)	AH K W IH T IH D
ACREAGE(2)	EY K R AH JH
ACTED(2)	AE K T IH D
ACTIVATED(2)	AE K T IH V EY T IH D
ACTIVIST(2)	AE K T IH V IH S T
ACTIVISTS'(2)	AE K T IH V IH S
ACTIVISTS(2)	AE K T IH V IH S T S
ACTIVISTS(3)	AE K T AH V AH S
ACTIVISTS(4)	AE K T IH V IH S
ACTIVITIES(2)	AE K T IH V IH T IY Z
ACTIVITY(2)	AE K T IH V IH T IY
ACTS(2)	AE K S
ACTUAL(2)	AE K SH AH L
ACTUALLY(2)	AE K CH L IY
ACTUALLY(3)	AE K SH AH L IY
ACTUATOR(2)	AE K CH UW EY T ER
ACTUATORS(2)	AE K CH UW EY T ER Z
ADAGE(2)	AE D IH JH
ADAPTATIONS(2)	AE D AH P T EY SH AH N Z
ADAPTED(2)	AH D AE P T IH D
ADDED(2)	AE D IH D
ADDICT(2)	AE D IH K T
ADDICTED(2)	AH D IH K T IH D
ADDICTS(2)	AE D IH K T S
ADDIS-ABABA(2)	AA D IY S AH B AA B AH
ADDISON(2)	AE D IH S AH N
ADDITIONAL(2)	AH D IH SH N AH L
ADDITIONALLY(2)	AH D IH SH N AH L IY
ADDITIVE(2)	AE D IH T IH V
ADDITIVES(2)	AE D IH T IH V Z
ADDRESS(2)	AH D R EH S
ADDRESSES(2)	AH D R EH S IH Z
ADELMAN(2)	EH D AH L M AH N
ADELSTEIN(2)	AE D AH L S T IY N
ADENAUER(2)	AE D AH N AW R
ADEQUATE(2)	AE D AH K W EY T
ADEQUATELY(2)	AE D AH K W IH T L IY
ADHESIVE(2)	AH D HH IY S IH V
ADHESIVES(2)	AH D HH IY S IH V Z
ADISQ(2)	EY D IH S K
ADJUSTED(2)	AH JH AH S T IH D
ADJUSTS(2)	AH JH AH S
ADMIRABLE(2)	AE D M R AH B AH L
ADMISSION(2)	AH D M IH SH AH N
ADMISSIONS(2)	AH D M IH SH AH N Z
ADMITTING(2)	AH D M IH T IH NG
ADOLESCENCE(2)	AE D OW L EH S AH N S
ADOLESCENT(2)	AE D OW L EH S AH N T
ADOLESCENTS(2)	AE D OW L EH S AH N T S
ADSS(2)	EY D IY EH S EH S
ADULT(2)	AE D AH L T
ADULTS'(2)	AE D AH L T S
ADULTS(2)	AE D AH L T S
ADVANCE'S(2)	AH D V AE N S IH Z
ADVANCES(2)	AH D V AE N S IH Z
ADVANTA'S(2)	AH D V AE N T AH Z
ADVANTA(2)	AH D V AE N T AH
ADVANTAGE(2)	AH D V AE N T IH JH
ADVANTAGE(3)	AE D V AE N IH JH
ADVANTAGE(4)	AH D V AE N AH JH
ADVANTAGED(2)	AH D V AE N T IH JH D
ADVANTAGED(3)	AE D V AE N IH JH D
ADVANTAGED(4)	AH D V AE N IH JH D
ADVANTAGES(2)	AH D V AE N T IH JH IH Z
ADVANTAGES(3)	AE D V AE N IH JH IH Z
ADVANTAGES(4)	AH D V AE N IH JH IH Z
ADVANTEST(2)	AH D V AE N T AH S T
ADVENTISTS(2)	AE D V EH N T IH S
ADVENTURE(2)	AH D V EH N CH ER
ADVENTURER(2)	AH D V EH N CH ER ER
ADVENTURERS(2)	AH D V EH N CH ER ER Z
ADVENTURES(2)	AH D V EH N CH ER Z
ADVENTURESOME(2)	AH D V EH N CH ER S AH M
ADVENTURISM(2)	AH D V EH N CH ER IH Z AH M
ADVENTUROUS(2)	AH D V EH N CH ER AH S
ADVERSE(2)	AH D V ER S
ADVERSITY(2)	AH D V ER S IH T IY
ADVERTISEMENT(2)	AE D V ER T AY Z M AH N T
ADVICE(2)	AH D V AY S
ADVISE(2)	AH D V AY Z
ADVISED(2)	AH D V AY Z D
ADVISEDLY(2)	AH D V AY Z AH D L IY
ADVISOR(2)	AH D V AY Z ER
ADVISORS(2)	AH D V AY Z ER Z
ADVISORY(2)	AH D V AY Z ER IY
ADVOCATE(2)	AE D V AH K EY T
ADVOCATED(2)	AE D V AH K EY T IH D
ADVOCATES(2)	AE D V AH K EY T S
AER(2)	EY IY AA R
AERODYNAMICISTS(2)	EH R OW D AY N AE M IH S IH S
AEROMAR(2)	EH R OW M AA R
AERONAUTICAL(2)	EH R AH N AA T AH K AH L
AFFECTED(2)	AH F EH K T IH D
AFFECTIONATE(2)	AH F EH K SH AH N IH T
AFFILIATE(2)	AH F IH L IY AH T
AFFILIATED(2)	AH F IH L IY EY T IH D
AFFILIATES(2)	AH F IH L IY EY T S
AFFINITY(2)	AH F IH N IH T IY
AFFIX(2)	AH F IH K S
AFFIXES(2)	AH F IH K S IH Z
AFFLICTED(2)	AH F L IH K T IH D
AFRICA'S(2)	AE F R IH K AH Z
AFRICA(2)	AE F R IH K AH
AFRICA(3)	AE F ER K AH
AFRICAN(2)	AE F R IH K AH N
AFRICANS(2)	AE F R IH K AH N Z
AFTERTASTES(2)	AE F T ER T EY S
AFTERTHOUGHT(2)	AE F T ER TH AO T
AFTERTHOUGHTS(2)	AE F T ER TH AO T S
AG(2)	EY G IY
AGAIN(2)	AH G EY N
AGAINST(2)	AH G EY N S T
AGED(2)	EY JH IH D
AGES(2)	EY JH IH Z
AGGRANDIZEMENT(2)	AH G R AE N D AY Z M AH N T
AGGRANDIZING(2)	AH G R AE N D AY Z IH NG
AGGRAVATED(2)	AE G R AH V EY T IH D
AGGREGATE(2)	AE G R AH G IH T
AGGREGATE(3)	AE G R AH G EY T
AGGREGATES(2)	AE G R AH G EY T S
AGNEW(2)	AE G N Y UW
AGONISTS(2)	AE G AH N IH S
AGRESOURCE(2)	AE G R AH S AO R S
AGRICULTURAL(2)	AE G R IH K AH L CH ER AH L
AGRICULTURALLY(2)	AE G R IH K AH L CH R AH L IY
AGRONOMISTS(2)	AH G R AA N AH M IH S
AGUIRRE'S(2)	AH G W IH R EY Z
AGUIRRE(2)	AH G W IH R EY
AHLEN(2)	AA L AH N
AHMED(2)	AA M EH D
AI(2)	EY AY
AIDED(2)	EY D IH D
AIGNER(2)	EH N Y EY
AIGNER(3)	EY K N ER
AILES(2)	EY L Z
AILUROPHILE(2)	EY L UH R AH F AY AH L
AINGE(2)	EY N JH
AIRCRAFT'S(2)	EH R K R AE F S
AIRCRAFTS(2)	EH R K R AE F S
AISLE(2)	AY AH L
AISLES(2)	AY AH L Z
AIX(2)	EY K S
AIX-EN-PROVENCE(2)	EH K S AA N P R AH V AO N S
AIX-LA-CHAPELLE(2)	EH K S L AA SH AH P EH L
AJAX'S(2)	EY JH AE K S IH Z
AJITO(2)	AH HH IY T OW
AKA(2)	EY K EY EY
AKAO(2)	AH K AA W
AKBAR(2)	AA K B AA R
AKER(2)	EY K ER
AKIN(2)	EY K IH N
AKINS(2)	EY K IH N Z
AL.(2)	AE L AH B AE M AH
ALAMOUDI(2)	AE L AA M UW D IY
ALARMIST(2)	AH L AA R M IH S T
ALARMISTS(2)	AH L AA R M IH S
ALCHEMIST(2)	AA L K AH M IH S T
ALDERIDGE(2)	AA L D R IH JH
ALDERMAN(2)	AE L D ER M AH N
ALDERSON(2)	AE L D ER S AH N
ALDRED(2)	AO L D R EH D
ALDRIC(2)	AO L D R IH K
ALEICHEM(2)	AH L EY HH EH M
ALEJANDRO(2)	AA L EY HH AA N D R OW
ALESSANDRO(2)	AA L AH S AE N D R OW
ALESSI(2)	AH L EY S IY
ALEXANDER'S(2)	AE L IH G Z AE N D ER Z
ALEXANDER(2)	AE L IH G Z AE N D ER
ALEXANDRA(2)	AE L IH G Z AE N D R AH
ALEXANDROV(2)	AE L AH G Z AE N D R AH V
ALFONSE(2)	AE L F AO N S
ALFRE(2)	AE L F R IY
ALFRED(2)	AE L F R IH D
ALICE(2)	AE L IH S
ALIENATED(2)	EY L IY AH N EY T IH D
ALITALIA'S(2)	AE L IH T AE L IY AH Z
ALITALIA(2)	AE L IH T AE L IY AH
ALLAIS(2)	EY L IY AH S
ALLDERDICE(2)	AE L D ER D AY S
ALLEBACH(2)	AE L B AA K
ALLEGES(2)	AH L EH JH IH Z
ALLEGHENIES(2)	AE L AH G EH N IY Z
ALLEGHENY'S(2)	AE L AH G EH N IY Z
ALLEGHENY(2)	AE L AH G EH N IY
ALLEGIANCES(2)	AH L IY JH AH N S IH Z
ALLENDER(2)	AA L EH N D ER
ALLERGIST'S(2)	AE L ER JH AH S
ALLERGISTS(2)	AE L ER JH AH S
ALLEVIATED(2)	AH L IY V IY EY T IH D
ALLIANCES(2)	AH L AY AH N S IH Z
ALLIED(2)	AE L AY D
ALLIES(2)	AH L AY Z
ALLISON(2)	AE L IH S AH N
ALLISTER(2)	AE L IH S T ER
ALLITERATIVE(2)	AH L IH T ER EY T IH V
ALLSBROOK(2)	AO L T S B R UH K
ALLSHOUSE(2)	AO L T S HH AW S
ALLY(2)	AH L AY
ALLYING(2)	AH L AY IH NG
ALMS(2)	AA M Z
ALREADY(2)	AO R EH D IY
ALROSA(2)	AA L R OW Z AH
ALSACE(2)	AE L S AE S
ALSBURY(2)	AE L Z B EH R IY
ALSDORF(2)	AE L Z D AO R F
ALTERNATE(2)	AO L T ER N EY T
ALTHORP(2)	AA L TH AO R P
ALTMEYER(2)	AA L T M AY ER
ALTOS(2)	AO L T OW S
ALTSCHULER(2)	AE L CH UW L ER
ALTSHULER(2)	AE L CH UW L ER
ALUM(2)	AH L AH M
ALUMINIUM(2)	AE L Y UW M IH N AH M
ALVARE(2)	AE L V AA R
ALWALEED(2)	AA L W AA L IY D
ALWAYS(2)	AO L W IY Z
ALZADO(2)	AA L Z AA D OW
ALZHEIMER'S(2)	AA T S Z HH AY M ER Z
ALZHEIMER(2)	AA L T S HH AY M ER
AM'S(2)	EY EH M Z
AM(2)	EY EH M
AMARYLLIS(2)	AE M ER IH L IH S
AMATEUR(2)	AE M AH CH ER
AMATEURS(2)	AE M AH CH ER Z
AMBIDEXTROUS(2)	AE M B IH D EH K S T R AH S
AMBLING(2)	AE M B L IH NG
AMBULANCES(2)	AE M B Y AH L AH N S IH Z
AMELIORATED(2)	AH M IY L Y ER EY T IH D
AMEN(2)	AA M EH N
AMENABLE(2)	AH M IY N AH B AH L
AMENDED(2)	AH M EH N D IH D
AMENITIES(2)	AH M EH N IH T IY Z
AMERADA(2)	AE M ER AA D AH
AMERICA'S(2)	AH M EH R IH K AH Z
AMERICA(2)	AH M EH R IH K AH
AMERICAN(2)	AH M EH R IH K AH N
AMERICANS(2)	AH M EH R IH K AH N Z
AMERICAS(2)	AH M EH R IH K AH Z
AMERICORP(2)	AH M EH R IH K AO R P
AMIR'S(2)	AA M IH R Z
AMIR(2)	AA M IH R
AMISH(2)	EY M IH SH
AMMAN(2)	AH M AA N
AMOUNTED(2)	AH M AW N IH D
AMOUNTING(2)	AH M AW N IH NG
AMPHIBOLE(2)	AE M F IH B OW L
AMRITSAR(2)	AE M R IH T S AA R
AMUNDSEN(2)	AA M AH N D S AH N
AMYOTROPHIC(2)	AE M IY AH T R OW F IH K
AN(2)	AH N
ANA(2)	AE N AH
ANALYSIS(2)	AH N AE L IH S IH S
ANALYST'S(2)	AE N AH L IH S
ANALYST(2)	AE N AH L IH S T
ANALYSTS'(2)	AE N AH L IH S
ANALYSTS(2)	AE N AH L IH S T S
ANALYSTS(3)	AE N AH L AH S
ANALYSTS(4)	AE N AH L IH S
ANASAZI(2)	AE N AH S AA Z IY
ANASTASIO(2)	AE N AH S T AA S IY OW
ANATOMICAL(2)	AE N AH T AA M IH K AH L
ANATOMIST(2)	AH N AE T AH M IH S T
ANCHORAGE(2)	AE NG K R IH JH
ANCHORMAN(2)	AE NG K ER M AH N
ANCIENT(2)	EY N SH AH N T
ANCIENTS(2)	EY N SH AH N T S
AND(2)	AE N D
ANDREA'S(2)	AA N D R EY AH Z
ANDREA(2)	AA N D R EY AH
ANDREANA(2)	AE N D R IY AA N AH
ANDREANI(2)	AE N D R IY AA N IY
ANDREANO(2)	AE N D R IY AA N OW
ANDREOTTI(2)	AE N D R IY AA D IY
ANDRES(2)	AE N D R EY Z
ANE(2)	AE N
ANECDOTAL(2)	AE N IH K D OW T AH L
ANECDOTALLY(2)	AE N IH K D OW T AH L IY
ANECDOTES(2)	AE N IH K D OW T S
ANEMONE(2)	AH N EH M AH N IY
ANENCEPHALIC(2)	AE N IH N S EH F AH L IH K
ANESTHESIOLOGISTS(2)	AE N AH S TH IY Z IY AA L AH JH AH S
ANEURISM(2)	AE N Y UH R IH Z M
ANEW(2)	AH N Y UW
ANFAL(2)	AE N F AA L
ANGELENO(2)	AE N JH AH L IY N OW
ANGELENOS(2)	AE N JH AH L IY N OW Z
ANGELICA(2)	AE N JH AH L IY K AH
ANGELINE(2)	AE N JH AH L IY N
ANGELINO'S(2)	AA NG G EH L IY N OW Z
ANGELINO(2)	AA NG G EH L IY N OW
ANGELINOS(2)	AE NG G AH L IY N OW Z
ANGELOFF(2)	AE N JH IH L AO F
ANGLOS(2)	AE NG G L OW S
ANGSTADT(2)	AE NG S T AE T
ANIMATE(2)	AE N AH M EY T
ANIMATED(2)	AE N AH M EY T IH D
ANIMATES(2)	AE N AH M EY T S
ANIMISTS(2)	AE N AH M AH S
ANNEX(2)	AH N EH K S
ANNEXED(2)	AH N EH K S T
ANNISTON(2)	AE N IH S IH N
ANNOTATED(2)	AE N AH T EY T AH D
ANNOUNCEMENT(2)	AH N AW N S M EH N T
ANNUITY(2)	AH N UW IH T IY
ANNUITY(3)	AH N Y UW IH T IY
ANNUNZIO(2)	AH N UW N Z IY OW
ANO(2)	AE N Y OW
ANOINTED(2)	AH N OY N T IH D
ANOINTED(3)	AH N OY N AH D
ANOINTED(4)	AH N OY N IH D
ANSCHLUSS(2)	AA N SH L UW S
ANTAGONISTS(2)	AE N T AE G AH N AH S
ANTARCTIC(2)	AE N AA R T IH K
ANTARCTICA(2)	AE N AA R T IH K AH
ANTECEDENT(2)	AE N T IH S IY D AH N T
ANTECEDENTS(2)	AE N T EH S AH D AH N T S
ANTED(2)	AE N T IY D
ANTHROPOLOGIST(2)	AE N TH R AH P AA L AH JH IH S T
ANTHROPOLOGISTS(2)	AE N TH R AH P AA L AH JH IH S T S
ANTI(2)	AE N T AY
ANTI-CATHOLICISM(2)	AE N T AY K AH TH AO L AH S IH Z AH M
ANTIABORTION(2)	AE N T AY AH B AO R SH AH N
ANTIBIOTIC(2)	AE N T AY B AY AA T IH K
ANTIBIOTICS(2)	AE N T AY B AY AA T IH K S
ANTIBODIES(2)	AE N T IY B AA D IY Z
ANTIBODIES(3)	AE N IH B AA D IY Z
ANTIBODY(2)	AE N T IY B AA D IY
ANTICANCER(2)	AE N T IY K AE N S ER
ANTICIPATED(2)	AE N T IH S AH P EY T IH D
ANTICORRUPTION(2)	AE N T IY K ER AH P SH AH N
ANTICRIME(2)	AE N T AY K R AY M
ANTIDEPRESSANTS(2)	AE N T IY D IH P R EH S AH N T S
ANTIDISCRIMINATION(2)	AE N T AY D IH S K R IH M AH N EY SH AH N
ANTIDOTE(2)	AE N IH D OW T
ANTIDUMPING(2)	AE N T AY D AH M P IH NG
ANTIFRAUD(2)	AE N T AY F R AA D
ANTIFUNGAL(2)	AE N T IY F AH NG G AH L
ANTIGAY(2)	AE N T IY G EY
ANTIGOVERNMENT(2)	AE N T AY G AH V ER M AH N T
ANTILOCK(2)	AE N T AY L AA K
ANTIPHON(2)	AE N T IH F AA N
ANTIPHONS(2)	AE N T IH F AA N Z
ANTIPOVERTY(2)	AE N T IY P AA V ER T IY
ANTIQUATED(2)	AE N T AH K W EY T IH D
ANTIREFORMER(2)	AE N T AY R IH F AO R M ER
ANTIREFORMERS(2)	AE N T AY R IH F AO R M ER Z
ANTISENSE(2)	AE N T AY S EH N S
ANTISMOKING(2)	AE N T AY S M OW K IH NG
ANTISOCIAL(2)	AE N T AY S OW SH AH L
ANTISUBMARINE(2)	AE N T AY S AH B M ER IY N
ANTITAX(2)	AE N T IY T AE K S
ANTITHEFT(2)	AE N T IY TH EH F T
ANTIWAR(2)	AE N T IY W AO R
ANWAR(2)	AA N W AA R
ANXIOUS(2)	AE NG SH AH S
ANYWHERE(2)	EH N IY HH W EH R
AOL(2)	AH M ER IH K AH AA N L AY N
AOSHIMA(2)	EY OW SH IY M AH
AOUN'S(2)	AW UW N Z
AOUN(2)	AW UW N
AOYAMA(2)	EY OW Y AA M AH
APARTHEID'S(2)	AH P AA R T AY D Z
APARTHEID(2)	AH P AA R T AY D
APCAR(2)	AE P G AA R
APHID(2)	EY F AH D
APHIDS(2)	EY F AH D Z
APPALACHIAN(2)	AE P AH L EY SH AH N
APPALACHIAN(3)	AE P AH L AE CH AH N
APPALACHIANS(2)	AE P AH L EY SH AH N Z
APPALACHIANS(3)	AE P AH L AE CH AH N Z
APPAREL(2)	AH P EH R AH L
APPELLATE(2)	AH P EH L EY T
APPLAUDED(2)	AH P L AO D IH D
APPLIANCES(2)	AH P L AY AH N S IH Z
APPLING(2)	AE P L IH NG
APPOINTED(2)	AH P OY N T IH D
APPRECIATIVE(2)	AH P R IY SH Y AH T IH V
APPRECIATIVELY(2)	AH P R IY SH Y AH T IH V L IY
APPREHENSIVE(2)	AE P R IY HH EH N S IH V
APPRENTICE(2)	AH P R EH N T IH S
APPROACHES(2)	AH P R OW CH IH Z
APPROPRIATE(2)	AH P R OW P R IY EY T
APPROXIMATE(2)	AH P R AA K S AH M EY T
APPROXIMATES(2)	AH P R AA K S AH M EY T S
AQUA(2)	AA K W AH
AQUATIC(2)	AH K W AE T IH K
ARAB(2)	EY R AH B
ARABIC(2)	EH R AH B IH K
ARABS(2)	EY R AH B Z
ARACHNID(2)	ER AE K N IH D
ARACHNIDS(2)	ER AE K N IH D Z
ARAFAT'S(2)	EH R AH F AE T S
ARAMONY(2)	EH R AH M OW N IY
ARASKOG(2)	ER AE S K AA G
ARBITRARY(2)	AA R B IH T R EH R IY
ARBITRON(2)	AA R B AH T R AH N
ARCHDIOCESE(2)	AA R CH D AY AH S IY Z
ARCHES(2)	AA R CH IH Z
ARCHIPELAGO(2)	AA R CH AH P AH L EY G OW
ARCHITECTURALLY(2)	AA R K IH T EH K CH R AH L IY
ARCHIVIST(2)	AA R K AY V IH S T
ARCHIVISTS(2)	AA R K AY V IH S T S
ARCTIC(2)	AA R T IH K
ARCTURUS(2)	AA R K T ER AH S
ARE(2)	ER
AREN'T(2)	AA R N T
ARENS(2)	AA R AH N Z
ARGONNE(2)	AA R G OW N
ARID(2)	EH R AH D
ARISES(2)	ER AY Z IH Z
ARITHMETIC(2)	ER IH TH M AH T IH K
ARJO(2)	AA R Y OW
ARMAND(2)	AA R M AA N D
ARMBRISTER(2)	AA R M B R IH S T ER
ARMBRUSTER(2)	AA R M B R UW S T ER
ARMSTRONG(2)	AA R M S T R AO NG
ARNSTEIN(2)	AA R N S T IY N
ARONSTEIN(2)	EH R AH N S T AY N
AROUND(2)	ER AW N
ARRESTED(2)	ER EH S T IH D
ARROW'S(2)	EH R OW Z
ARROW(2)	EH R OW
ARROWHEAD(2)	EH R OW HH EH D
ARROWHEADS(2)	EH R OW HH EH D Z
ARROWS(2)	EH R OW Z
ARROWSMITH'S(2)	EH R OW S M IH TH S
ARROWSMITH(2)	EH R OW S M IH TH
ARSONIST(2)	AA R S AH N IH S T
ARSONISTS(2)	AA R S AH N IH S T S
ARTHRITIS(2)	AA R TH R AY T IH S
ARTICHOKE(2)	AA R T IH CH OW K
ARTICLE(2)	AA R T IH K AH L
ARTICLES(2)	AA R T IH K AH L Z
ARTICULATE(2)	AA R T IH K Y AH L AH T
ARTIST'S(2)	AA R T IH S T S
ARTIST(2)	AA R T IH S T
AS(2)	EH Z
ASAP(2)	EY S AE P
ASBESTOSIS(2)	AE S B EH S T OW S IH S
ASEA(2)	EY EH S IY EY
ASEAN(2)	EY EH S IY EY EH N
ASEAN(3)	AE Z EY AH N
ASHBAUGH(2)	AE SH B AO
ASHES(2)	AE SH IH Z
ASIMOV'S(2)	AE Z IH M AA V Z
ASIMOV(2)	AE Z IH M AA V
ASKED(2)	AE S T
ASLESON(2)	AE S IH L S AH N
ASPIRANT(2)	AH S P AY R AH N T
ASPIRANTS(2)	AH S P AY R AH N T S
ASPIRANTS(3)	AE S P ER AH N S
ASPIRANTS(4)	AH S P AY R AH N S
ASSEMBLAGE(2)	AH S EH M B L IH JH
ASSEMBLING(2)	AH S EH M B L IH NG
ASSEMBLYMAN(2)	AH S EH M B L IY M AH N
ASSISTED(2)	AH S IH S T IH D
ASSOCIATE'S(2)	AH S OW SH IY AH T S
ASSOCIATE(2)	AH S OW S IY EY T
ASSOCIATE(3)	AH S OW SH IY AH T
ASSOCIATE(4)	AH S OW SH IY EY T
ASSOCIATED(2)	AH S OW SH IY EY T AH D
ASSOCIATES'(2)	AH S OW S IY AH T S
ASSOCIATES(2)	AH S OW S IY EY T S
ASSOCIATES(3)	AH S OW SH IY AH T S
ASSOCIATES(4)	AH S OW SH IY EY T S
ASSOCIATION(2)	AH S OW SH IY EY SH AH N
ASSOCIATIONS(2)	AH S OW SH IY EY SH AH N Z
ASSURANCES(2)	AH SH UH R AH N T S IH Z
ASTORE(2)	AE S T AO R IY
ASYMPTOTE(2)	AE S IH M P T OW T
ASYMPTOTES(2)	AE S IH M P T OW T S
ATHEISM(2)	EY TH IY IH Z AH M
ATKINSON'S(2)	AE T K IH N S AH N Z
ATKINSON(2)	AE T K IH N S AH N
ATLANTA'S(2)	AE T L AE N AH Z
ATLANTA(2)	AH T L AE N T AH
ATLANTA(3)	AE T L AE N AH
ATLANTA(4)	AH T L AE N AH
ATLANTAN(2)	AE T L AE N AH N
ATLANTANS(2)	AE T L AE N AH N Z
ATLANTIC'S(2)	AH T L AE N IH K S
ATLANTIC(2)	AH T L AE N IH K
ATLANTIS'(2)	AE T L AE N T IH S IH Z
ATLANTIS(2)	AE T L AE N IH S
ATLASES(2)	AE T L AH S IH Z
ATOLL(2)	AE T AO L
ATOLL(3)	AH T OW L
ATSUSHI(2)	AA S UW SH IY
ATTEMPTS(2)	AH T EH M P S
ATTESTS(2)	AH T EH S
ATTRIBUTE(2)	AH T R IH B Y UW T
ATTRIBUTES(2)	AH T R IH B Y UW T S
AUCTION(2)	AO K SH AH N
AUCTIONS(2)	AO K SH AH N Z
AUDI'S(2)	AW D IY Z
AUDI(2)	AW D IY
AUDIENCE'S(2)	AO D IY AH N S AH Z
AUDIENCE(2)	AO D IY AH N S
AUDIENCES(2)	AO D IY AH N S AH Z
AUDIS(2)	AW D IY Z
AUGENSTEIN(2)	AW G AH N S T IY N
AUGSBURGER(2)	AO G Z B ER G ER
AUGSPURGER(2)	AO G S P ER G ER
AUGUST(2)	AO G AH S T
AUGUSTINE(2)	AO G AH S T IY N
AUGUSTSON(2)	AO G AH S AH N
AUGUSTUS(2)	AH G AH S T AH S
AUNT'S(2)	AO N T S
AUNT(2)	AO N T
AUNTIE(2)	AO N T IY
AUNTS'(2)	AO N T S
AUNTS(2)	AO N T S
